user_id,K,avg_throughput
0,K0,0.5950812462782952
1,K0,0.5988341478298739
2,K0,0.624881720008455
3,K0,0.5735992677846075
4,K0,0.611219383484648
5,K0,0.6209175638058075
6,K0,0.6251578147584418
7,K0,0.5358562270689207
8,K0,0.6162264952492047
9,K0,0.6330016436594661
10,K0,0.6383763726908898
11,K0,0.6266050313050454
12,K0,0.6121364016267163
13,K0,0.4691693795862608
14,K0,0.4899823257668765
15,K0,0.5750990728254559
16,K0,0.5012282820790692
17,K0,0.5316049329747577
18,K0,0.48598077002751444
19,K0,0.46002698168248146
20,K0,0.4996813638612045
21,K0,0.4712140196434209
22,K0,0.5565069310086893
23,K0,0.5098358988205025
24,K0,0.5281534575786189
25,K0,0.5441041205019125
26,K0,0.5728362057172668
27,K0,0.51837175176873
28,K0,0.48234733449052797
29,K0,0.5607437186642403
30,K0,0.4698597159734259
31,K0,0.5018992683020154
32,K0,0.5267276658725407
33,K0,0.4390767243387293
34,K0,0.5354840876199122
35,K0,0.5900761647897482
36,K0,0.5404553955969457
37,K0,0.5037522074726869
38,K0,0.5454275248828965
39,K0,0.5640457577156629
40,K0,0.5181880274302352
41,K0,0.518565406133945
42,K0,0.5674475529941757
43,K0,0.5190436550593355
44,K0,0.49719070302591556
45,K0,0.5834234368813614
46,K0,0.4908763960940358
47,K0,0.5477256682179349
48,K0,0.5841982733455481
49,K0,0.5004980477652131
50,K0,0.492072140279621
51,K0,0.4771739463216841
52,K0,0.5238758936220466
53,K0,0.566158255752801
54,K0,0.5066325454335274
55,K0,0.4954956863555485
56,K0,0.5241965848277826
57,K0,0.4064307049655549
58,K0,0.4605228541369456
59,K0,0.5251725259231418
60,K0,0.5066375301225471
61,K0,0.48699242222698397
62,K0,0.473663873086268
63,K0,0.5018740039288263
64,K0,0.4998477624693378
65,K0,0.48064056186969684
66,K0,0.47879453420962775
67,K0,0.4925802886127527
68,K0,0.4867261914980252
69,K0,0.5030122591415741
70,K0,0.5137007378092164
71,K0,0.4900608902134835
72,K0,0.4784384225118467
73,K0,0.5127267314799746
74,K0,0.4964314953248535
75,K0,0.48298123401078924
76,K0,0.5055789755323077
77,K0,0.6098782116304348
78,K0,0.4607169273970198
79,K0,0.5235883197824465
80,K0,0.4831831396633832
81,K0,0.4879896156022717
82,K0,0.5268798506395144
83,K0,0.48313286438213365
84,K0,0.4903947825367389
85,K0,0.5838992201216171
86,K0,0.47689543105203747
87,K0,0.47741167333936935
88,K0,0.5195556136559989
89,K0,0.5074485380886226
90,K0,0.5011990572540662
91,K0,0.4624949466479609
92,K0,0.5133222064261393
93,K0,0.5363945595582589
94,K0,0.5080653139783947
95,K0,0.4989618191095681
96,K0,0.48178082103885506
97,K0,0.4794255316709611
98,K0,0.5087650796366043
99,K0,0.456410749697959
100,K0,0.47651555877891555
101,K0,0.5306726751970318
102,K0,0.4520670897477791
103,K0,0.5177230892263692
104,K0,0.44902636962557463
105,K0,0.480871427077918
106,K0,0.5871475123416163
107,K0,0.5091149438393592
108,K0,0.4934413318314138
109,K0,0.5295799180066019
110,K0,0.4989782050559286
111,K0,0.47917412354421773
112,K0,0.528875518925287
113,K0,0.5297023021821814
114,K0,0.4745209228708192
115,K0,0.5227534249506998
116,K0,0.5357075766459221
117,K0,0.5105085788039758
