user_id,K,K_limit,reward,handover_count,success
0,K0,8,,10,False
1,K0,9,,12,False
2,K0,10,,16,False
3,K0,7,646.0887292974795,6,True
4,K0,8,,10,False
5,K0,12,,22,False
6,K0,10,,16,False
7,K0,8,,9,False
8,K0,9,,14,False
9,K0,9,,14,False
10,K0,9,,13,False
11,K0,11,,19,False
12,K0,9,,13,False
13,K0,8,,9,False
14,K0,10,,16,False
15,K0,8,,11,False
16,K0,8,,11,False
17,K0,7,697.0760353159485,7,True
18,K0,12,,23,False
19,K0,8,,11,False
20,K0,6,501.6119534290767,5,True
21,K0,10,,15,False
22,K0,7,,8,False
23,K0,7,,8,False
24,K0,7,560.0870236190684,6,True
25,K0,13,,25,False
26,K0,13,,24,False
27,K0,10,,17,False
28,K0,12,,22,False
29,K0,10,,16,False
30,K0,13,,24,False
31,K0,7,531.2061415562208,6,True
32,K0,13,,24,False
33,K0,12,,21,False
34,K0,7,518.8599016634641,6,True
35,K0,9,,12,False
36,K0,9,,12,False
37,K0,10,,16,False
38,K0,11,,20,False
39,K0,6,434.54519147654645,5,True
40,K0,12,,23,False
41,K0,13,,24,False
42,K0,10,,16,False
43,K0,9,,14,False
44,K0,9,,14,False
45,K0,9,,14,False
46,K0,9,,13,False
47,K0,10,,15,False
48,K0,10,,17,False
49,K0,7,549.8025718787607,7,True
50,K0,8,,11,False
51,K0,11,,20,False
52,K0,13,,24,False
53,K0,11,,19,False
54,K0,10,,15,False
55,K0,12,,22,False
56,K0,8,,11,False
57,K0,7,424.6086693697014,6,True
58,K0,9,,12,False
59,K0,12,,22,False
60,K0,11,,18,False
61,K0,11,,17,False
62,K0,12,,21,False
63,K0,9,,13,False
64,K0,9,,12,False
65,K0,10,,15,False
66,K0,8,,10,False
67,K0,10,,15,False
68,K0,6,608.1810625451187,4,True
69,K0,7,656.9658631806284,5,True
70,K0,7,651.5564298418002,5,True
71,K0,12,,21,False
72,K0,11,,19,False
73,K0,13,,22,False
74,K0,10,,14,False
75,K0,11,,19,False
76,K0,9,,11,False
77,K0,11,,17,False
78,K0,6,560.5925015848641,4,True
79,K0,10,,14,False
80,K0,10,,15,False
81,K0,10,,15,False
82,K0,11,,19,False
83,K0,9,,11,False
84,K0,6,532.0066746013257,4,True
85,K0,11,,18,False
86,K0,12,,20,False
87,K0,9,,13,False
88,K0,6,512.9064730461046,4,True
89,K0,7,614.5732755994372,6,True
90,K0,7,675.7555529546776,7,True
91,K0,12,,20,False
92,K0,13,,22,False
93,K0,11,,19,False
94,K0,11,,17,False
95,K0,8,,10,False
96,K0,13,,22,False
97,K0,8,,9,False
98,K0,7,503.7015629956767,5,True
99,K0,10,,16,False
100,K0,13,,22,False
101,K0,13,,22,False
102,K0,9,,13,False
103,K0,9,,12,False
104,K0,9,,12,False
105,K0,9,,12,False
106,K0,7,571.5828978773285,7,True
107,K0,8,,9,False
108,K0,7,501.69443812534956,6,True
109,K0,6,412.9397503632117,4,True
110,K0,13,,22,False
111,K0,8,,10,False
112,K0,7,429.46873159248054,5,True
113,K0,13,,22,False
114,K0,9,,13,False
115,K0,10,,16,False
116,K0,6,379.56729431509837,4,True
117,K0,13,,22,False
118,K0,7,444.98889651883303,6,True
119,K0,7,392.6667183044403,5,True
120,K0,12,,23,False
121,K0,11,,20,False
122,K0,7,494.93428252017617,6,True
123,K0,7,490.73480740190826,6,True
124,K0,11,,20,False
125,K0,10,,17,False
126,K0,13,,24,False
127,K0,11,,19,False
128,K0,10,,16,False
129,K0,12,,23,False
130,K0,10,,16,False
131,K0,11,,18,False
132,K0,12,,21,False
133,K0,11,,18,False
134,K0,9,,12,False
135,K0,8,,11,False
136,K0,8,,10,False
137,K0,12,,21,False
138,K0,7,513.609354659473,7,True
139,K0,7,508.88002957085746,7,True
140,K0,12,,22,False
141,K0,13,,24,False
142,K0,13,,24,False
143,K0,11,,20,False
144,K0,7,485.00648426890973,7,True
145,K0,7,480.2080974567135,7,True
146,K0,8,,10,False
147,K0,8,,11,False
148,K0,9,,12,False
149,K0,10,,17,False
150,K0,10,,17,False
151,K0,11,,20,False
152,K0,7,370.048104945152,6,True
153,K0,11,,19,False
154,K0,8,,9,False
155,K0,7,,8,False
156,K0,7,353.4249022231758,6,True
157,K0,12,,23,False
158,K0,8,,11,False
159,K0,11,,19,False
160,K0,11,,19,False
161,K0,9,,12,False
162,K0,13,,23,False
163,K0,8,,11,False
164,K0,13,,23,False
165,K0,12,,23,False
166,K0,12,,22,False
167,K0,8,,11,False
168,K0,7,371.7249559406599,7,True
169,K0,12,,22,False
170,K0,9,,14,False
171,K0,9,,12,False
172,K0,12,,23,False
173,K0,8,,9,False
174,K0,11,,20,False
175,K0,7,274.35443738653424,6,True
176,K0,6,232.81543229370692,5,True
177,K0,12,,21,False
178,K0,12,,22,False
179,K0,7,,8,False
180,K0,10,,15,False
181,K0,10,,16,False
182,K0,8,,9,False
183,K0,11,,19,False
184,K0,7,464.8885862590387,6,True
185,K0,8,,11,False
186,K0,13,,25,False
187,K0,13,,25,False
188,K0,13,,24,False
189,K0,7,,8,False
190,K0,12,,23,False
191,K0,13,,25,False
192,K0,8,,11,False
193,K0,10,,16,False
194,K0,13,,25,False
195,K0,8,,11,False
196,K0,11,,19,False
197,K0,7,460.87953374471454,7,True
198,K0,11,,19,False
199,K0,12,,21,False
200,K0,10,,16,False
201,K0,8,,10,False
202,K0,8,,10,False
203,K0,10,,17,False
204,K0,10,,17,False
205,K0,11,,20,False
206,K0,12,,21,False
207,K0,7,,8,False
208,K0,11,,18,False
209,K0,12,,22,False
210,K0,10,,16,False
211,K0,7,353.6711593265711,6,True
212,K0,11,,19,False
213,K0,11,,18,False
214,K0,11,,18,False
215,K0,8,,11,False
216,K0,11,,19,False
217,K0,10,,17,False
218,K0,7,,8,False
219,K0,9,,14,False
220,K0,7,,8,False
221,K0,10,,15,False
222,K0,9,,14,False
223,K0,6,273.5560848905273,5,True
224,K0,6,270.0102214426022,5,True
225,K0,7,,8,False
226,K0,8,,11,False
227,K0,13,,24,False
228,K0,13,,24,False
229,K0,10,,17,False
230,K0,9,,14,False
231,K0,10,,15,False
232,K0,12,,23,False
233,K0,13,,24,False
234,K0,10,,15,False
235,K0,6,231.05556345333787,5,True
236,K0,7,252.43493741640714,6,True
237,K0,7,248.31431045422994,6,True
238,K0,11,,18,False
239,K0,9,,13,False
240,K0,11,,19,False
241,K0,10,,17,False
242,K0,11,,19,False
243,K0,13,,25,False
244,K0,8,,11,False
245,K0,8,,9,False
246,K0,7,242.2876665919082,7,True
247,K0,10,,16,False
248,K0,10,,17,False
249,K0,9,,13,False
250,K0,9,,14,False
251,K0,11,,19,False
252,K0,7,213.4481855541348,7,True
253,K0,8,,9,False
254,K0,12,,23,False
255,K0,7,,8,False
256,K0,7,194.213443338001,7,True
257,K0,11,,20,False
258,K0,10,,15,False
259,K0,8,,9,False
260,K0,11,,18,False
261,K0,8,,10,False
262,K0,12,,22,False
263,K0,10,,17,False
264,K0,9,,12,False
265,K0,9,,14,False
266,K0,9,,14,False
267,K0,8,,9,False
268,K0,13,,25,False
269,K0,9,,13,False
270,K0,7,115.1122571080669,6,True
271,K0,13,,25,False
272,K0,13,,25,False
273,K0,11,,20,False
274,K0,11,,19,False
275,K0,6,83.29295442881607,5,True
276,K0,11,,20,False
277,K0,6,76.10440340082563,5,True
278,K0,11,,19,False
279,K0,10,,16,False
280,K0,11,,19,False
281,K0,12,,22,False
282,K0,13,,24,False
283,K0,7,61.478919166771206,6,True
284,K0,9,,14,False
285,K0,13,,24,False
286,K0,10,,17,False
287,K0,10,,15,False
288,K0,7,,8,False
289,K0,13,,24,False
290,K0,13,,25,False
291,K0,13,,25,False
292,K0,6,22.219235609389226,5,True
293,K0,7,,8,False
294,K0,10,,15,False
295,K0,13,,24,False
296,K0,11,,19,False
297,K0,7,,8,False
298,K0,10,,17,False
299,K0,13,,24,False
300,K0,10,,15,False
301,K0,11,,20,False
302,K0,7,,8,False
303,K0,12,,23,False
304,K0,9,,13,False
305,K0,6,8.568451584460387,5,True
306,K0,6,5.011296889147463,5,True
307,K0,8,,11,False
308,K0,8,,9,False
309,K0,9,,12,False
310,K0,11,,20,False
311,K0,12,,23,False
312,K0,7,,8,False
313,K0,7,,8,False
314,K0,9,,14,False
315,K0,11,,18,False
316,K0,12,,21,False
317,K0,9,,12,False
318,K0,8,,10,False
319,K0,11,,18,False
320,K0,10,,17,False
321,K0,9,,12,False
322,K0,11,,19,False
323,K0,13,,25,False
324,K0,9,,13,False
325,K0,11,,19,False
326,K0,9,,14,False
327,K0,11,,18,False
328,K0,10,,16,False
329,K0,11,,18,False
330,K0,9,,13,False
331,K0,11,,18,False
332,K0,8,,10,False
333,K0,12,,22,False
334,K0,9,,13,False
335,K0,12,,22,False
336,K0,13,,24,False
337,K0,8,,9,False
338,K0,8,,11,False
339,K0,11,,19,False
340,K0,13,,24,False
341,K0,11,,20,False
342,K0,12,,22,False
343,K0,8,,9,False
344,K0,10,,16,False
345,K0,6,-133.7041301041183,5,True
346,K0,6,-137.25976760775208,5,True
347,K0,10,,17,False
348,K0,11,,20,False
349,K0,10,,15,False
350,K0,8,,11,False
351,K0,9,,12,False
352,K0,8,,10,False
353,K0,10,,15,False
354,K0,8,,9,False
355,K0,10,,15,False
356,K0,12,,22,False
357,K0,13,,24,False
358,K0,7,-200.83636313791635,6,True
359,K0,7,-205.01675635774956,6,True
360,K0,12,,23,False
361,K0,12,,23,False
362,K0,8,,10,False
363,K0,10,,15,False
364,K0,8,,11,False
365,K0,8,,11,False
366,K0,6,-82.08506187878616,5,True
367,K0,9,,13,False
368,K0,9,,14,False
369,K0,12,,22,False
370,K0,9,,13,False
371,K0,10,,17,False
372,K0,9,,12,False
373,K0,10,,17,False
374,K0,13,,24,False
375,K0,8,,11,False
376,K0,7,,8,False
377,K0,12,,22,False
378,K0,13,,25,False
379,K0,12,,21,False
380,K0,8,,10,False
381,K0,7,,8,False
382,K0,11,,20,False
383,K0,10,,16,False
384,K0,6,-145.60331931499047,5,True
385,K0,8,,9,False
386,K0,10,,17,False
387,K0,13,,24,False
388,K0,12,,23,False
389,K0,8,,10,False
390,K0,7,-229.8411038824609,6,True
391,K0,9,,14,False
392,K0,8,,9,False
393,K0,11,,20,False
394,K0,13,,25,False
395,K0,12,,22,False
396,K0,10,,16,False
397,K0,11,,20,False
398,K0,10,,17,False
399,K0,12,,21,False
400,K0,6,-202.07028819127834,5,True
401,K0,7,,8,False
402,K0,12,,22,False
403,K0,9,,13,False
404,K0,12,,23,False
405,K0,12,,22,False
406,K0,11,,19,False
407,K0,10,,16,False
408,K0,11,,18,False
409,K0,6,-233.82452420088777,5,True
410,K0,9,,14,False
411,K0,7,-358.02238855442454,7,True
412,K0,13,,24,False
413,K0,10,,17,False
414,K0,9,,12,False
415,K0,8,,11,False
416,K0,7,,8,False
417,K0,9,,14,False
418,K0,9,,13,False
419,K0,13,,24,False
420,K0,8,,10,False
421,K0,12,,21,False
422,K0,12,,20,False
423,K0,12,,20,False
424,K0,6,433.49206789108507,4,True
425,K0,7,511.64835034641237,5,True
426,K0,10,,15,False
427,K0,11,,18,False
