user_id,K,avg_throughput
0,K0,108.48986836874634
1,K0,108.9417773902547
2,K0,109.1667665572581
3,K0,108.98760299441717
4,K0,109.48742090794532
5,K0,108.59597540390878
6,K0,108.61821524706139
7,K0,107.79731882354179
8,K0,108.80369411351056
9,K0,108.82701020475149
10,K0,108.5850761012171
11,K0,108.17499155807495
12,K0,109.41326483604894
13,K0,108.7840824783331
14,K0,108.614473186993
15,K0,108.89830543377758
16,K0,108.08714136574257
17,K0,108.41974549509939
18,K0,109.50460838918757
19,K0,108.08946741196029
20,K0,108.02734345394883
21,K0,109.4220198291371
22,K0,108.05598688484501
23,K0,108.05628023107843
24,K0,107.57101023245647
25,K0,109.01250259791132
26,K0,109.21769356779056
27,K0,107.80974612830028
28,K0,109.84017312665759
29,K0,108.72880116862656
30,K0,108.52022003447897
31,K0,108.98645207231475
32,K0,108.9350589220383
33,K0,109.48720960896976
34,K0,108.99047962113778
35,K0,108.41892735528806
36,K0,108.9410649577376
37,K0,108.36381063659982
38,K0,107.97074234093071
39,K0,108.02449148847495
40,K0,109.52419728984147
41,K0,109.1167628957274
42,K0,108.28398101036271
43,K0,108.40930372641718
44,K0,109.77427746958686
45,K0,109.76187316965338
46,K0,108.980732072913
47,K0,110.23026307693057
48,K0,108.76130990565531
49,K0,109.33832741346818
50,K0,108.89833736839766
51,K0,108.74697028757299
52,K0,108.33100197064232
53,K0,109.61365382709137
54,K0,109.43895167300474
55,K0,109.06642020208673
56,K0,108.89833378162245
57,K0,107.85895432794186
58,K0,107.8180658823074
59,K0,109.28530646515091
60,K0,108.52888242784927
61,K0,108.34867841234863
62,K0,108.20019058292667
63,K0,108.18718137436507
64,K0,107.76178769165168
65,K0,109.68881157083219
66,K0,106.74518493758158
67,K0,108.80495907092276
68,K0,107.24345951676592
69,K0,107.39117235736616
70,K0,107.60661703352814
71,K0,107.84651533492621
72,K0,108.5343421832063
73,K0,107.96031255247479
74,K0,107.34077982772753
75,K0,108.607456588672
76,K0,107.79016059928696
77,K0,108.27699401711207
78,K0,107.23947383040911
79,K0,109.0362016642845
80,K0,108.06098424997424
81,K0,109.00348968978682
82,K0,108.30333907564398
83,K0,108.2741682080957
84,K0,107.2399433163032
85,K0,108.48387603542804
86,K0,108.21223036828268
87,K0,107.40315963847046
88,K0,107.24223502609694
89,K0,107.78091404772437
90,K0,107.77504270957121
91,K0,108.71192004687354
92,K0,107.57629421310331
93,K0,108.45584538770912
94,K0,107.81741599665443
95,K0,108.5399087235656
96,K0,108.2223559458512
97,K0,107.77598224858842
98,K0,107.24102638343274
99,K0,107.929870142473
100,K0,108.22023019310483
101,K0,107.65404655317039
102,K0,107.04945353532035
103,K0,108.59326234856358
104,K0,109.13506368479804
105,K0,107.23086151102396
106,K0,107.56887581134039
107,K0,107.883834657004
108,K0,107.4835689653109
109,K0,107.24080371200431
110,K0,107.8156206451579
111,K0,109.13535120048647
112,K0,107.24100214363796
113,K0,108.18254954281467
114,K0,106.9918350090457
115,K0,107.95700231399907
116,K0,107.24261156457659
117,K0,109.61467917475218
118,K0,107.4829001383431
119,K0,107.84742640600105
120,K0,108.0155576671824
121,K0,108.7876381130611
122,K0,108.89739551310059
123,K0,109.58719247611876
124,K0,108.08617637667624
125,K0,109.70756343707916
126,K0,108.08358220556852
127,K0,108.50080834755127
128,K0,108.85111116250583
129,K0,107.99975959738703
130,K0,109.50651744968728
131,K0,108.93436583206906
132,K0,108.27305324147727
133,K0,108.0647876673659
134,K0,108.27404064702601
135,K0,108.85647329410402
136,K0,109.22112472681916
137,K0,107.96291704761839
138,K0,110.39709988806017
139,K0,110.51703018074069
140,K0,108.21520395602117
141,K0,108.14577010666243
142,K0,109.18476987913535
143,K0,108.07504052868879
144,K0,109.81459236037475
145,K0,107.95193055876024
146,K0,110.06527282846119
147,K0,109.06109010201749
148,K0,109.3799660088141
149,K0,107.39993740502982
150,K0,108.19574573292205
151,K0,107.43357360634577
152,K0,109.94968229098602
153,K0,109.54024201443622
154,K0,108.2410469910013
155,K0,110.72386522272069
156,K0,110.48335157787862
157,K0,109.49733739648691
158,K0,109.78727506607053
159,K0,108.45358875367329
160,K0,109.37165596144493
161,K0,110.3502041097058
162,K0,108.32965935626721
163,K0,108.86720525107914
164,K0,107.6992551623627
165,K0,108.40309384178124
166,K0,109.169069952718
167,K0,108.0866637961923
168,K0,111.51206085990336
169,K0,108.07839891692926
170,K0,110.51002758212319
171,K0,109.2555916397415
172,K0,108.09659549322294
173,K0,108.34276940293626
174,K0,107.9264376581439
175,K0,110.83467320004625
176,K0,110.19341991693443
177,K0,109.81491481719891
178,K0,108.50653625430435
179,K0,110.07690311193393
180,K0,109.46535983683243
181,K0,109.53017372673405
182,K0,108.16561517620505
183,K0,108.93961654503929
184,K0,107.64735014193259
185,K0,108.54470106016055
186,K0,107.68090441794949
187,K0,108.92660540080864
188,K0,108.90388397194911
189,K0,108.54376314383671
190,K0,108.52021228591802
191,K0,108.57635715444317
192,K0,108.43667612108597
193,K0,108.99216992321792
194,K0,108.35271752755791
195,K0,108.43276263794758
