user_id,K,K_limit,reward,handover_count,success
0,K0,8,803.5635098929848,3,True
1,K0,9,938.735184548101,4,True
2,K0,10,1078.4021263135767,5,True
3,K0,7,487.6476860427882,2,True
4,K0,8,659.7772924211085,3,True
5,K0,12,1628.2167980021588,8,True
6,K0,10,1146.4655162090876,5,True
7,K0,8,567.2797085402162,3,True
8,K0,9,972.8160394611187,5,True
9,K0,9,969.3514988590126,5,True
10,K0,9,882.7875004894929,4,True
11,K0,11,1248.501817356749,7,True
12,K0,9,716.8018968654014,4,True
13,K0,8,514.6541019331579,3,True
14,K0,10,880.5707676390848,5,True
15,K0,8,607.874892366745,3,True
16,K0,8,526.4379493569052,3,True
17,K0,7,412.8862916016665,2,True
18,K0,12,1384.4951742876049,8,True
19,K0,8,549.5304973505198,3,True
20,K0,6,233.14425815605193,1,True
21,K0,10,735.9355217714175,5,True
22,K0,7,291.54222465970867,2,True
23,K0,7,276.9562334962839,2,True
24,K0,7,299.78949525454215,2,True
25,K0,13,1483.9304641485394,9,True
26,K0,13,1457.2918192282302,9,True
27,K0,10,929.3981977498637,6,True
28,K0,12,1248.0783517331859,8,True
29,K0,10,793.5791081949229,5,True
30,K0,13,1370.0586764886593,9,True
31,K0,7,211.55514474973148,2,True
32,K0,13,1330.9618022519176,9,True
33,K0,12,1001.6290720901321,8,True
34,K0,7,196.70499762742708,2,True
35,K0,9,332.2152938224613,4,True
36,K0,9,331.03499793810283,4,True
37,K0,10,643.3741975838518,5,True
38,K0,11,975.3735247139996,7,True
39,K0,6,48.412568589214786,1,True
40,K0,12,1108.7087525521115,8,True
41,K0,13,989.9823816587062,9,True
42,K0,10,470.1483681681111,5,True
43,K0,9,340.9010865291486,5,True
44,K0,9,439.3756571499534,5,True
45,K0,9,311.4395895768465,5,True
46,K0,9,243.19951309040536,4,True
47,K0,10,442.5076993750183,5,True
48,K0,10,565.419249750487,6,True
49,K0,7,-71.23659652348827,2,True
50,K0,8,64.83656337407066,3,True
51,K0,11,624.9713334762845,7,True
52,K0,13,907.5279497852034,9,True
53,K0,11,519.7103549556466,7,True
54,K0,10,203.00580861068482,5,True
55,K0,12,667.3204967405673,8,True
56,K0,8,-116.49690811859558,3,True
57,K0,7,-23.045783659024124,2,True
58,K0,9,36.622245318246314,4,True
59,K0,12,521.3346545780737,8,True
60,K0,11,1522.4933650685305,7,True
61,K0,11,1569.6408612858752,7,True
62,K0,12,1939.11483432889,8,True
63,K0,9,1199.7562015622066,5,True
64,K0,9,1123.7526233758997,5,True
65,K0,10,1431.039566921093,6,True
66,K0,8,880.214313692554,4,True
67,K0,10,1403.5865676783196,6,True
68,K0,6,461.7157398012216,1,True
69,K0,7,540.6254192482371,2,True
70,K0,7,514.2755795345289,2,True
71,K0,12,1852.344535681208,8,True
72,K0,11,1691.1069564574454,7,True
73,K0,13,2153.236209130533,9,True
74,K0,10,1240.5701217922992,6,True
75,K0,11,1582.6137649448203,7,True
76,K0,9,805.3530760711982,4,True
77,K0,11,1383.2938565352126,7,True
78,K0,6,365.1827669702866,1,True
79,K0,10,1227.8841941345977,6,True
80,K0,10,1088.0066923274815,6,True
81,K0,10,1136.2328804337826,6,True
82,K0,11,1456.9352198452198,7,True
83,K0,9,851.2135744602708,4,True
84,K0,6,307.2747069345942,1,True
85,K0,11,1302.9042381479323,7,True
86,K0,12,1570.657160741712,8,True
87,K0,9,1027.5230022581059,5,True
88,K0,6,268.67359656821566,1,True
89,K0,7,388.4572819018997,2,True
90,K0,7,469.81021517634224,3,True
91,K0,12,1523.7777989601375,8,True
92,K0,13,1656.327864192139,9,True
93,K0,11,1316.3619509598211,7,True
94,K0,11,1266.322998695108,7,True
95,K0,8,591.2893241029785,4,True
96,K0,13,1701.4811789997789,9,True
97,K0,8,548.3955930973253,4,True
98,K0,7,282.073687497849,2,True
99,K0,10,1001.3958169219652,6,True
100,K0,13,1739.3707223242902,9,True
101,K0,13,1655.219154588564,9,True
102,K0,9,858.5187161394776,5,True
103,K0,9,695.4157819782233,5,True
104,K0,9,740.9566574527134,5,True
105,K0,9,695.2180975950782,5,True
106,K0,7,368.83516131638487,3,True
107,K0,8,589.4336107737275,4,True
108,K0,7,219.68726449647258,2,True
109,K0,6,65.98547380846536,1,True
110,K0,13,1413.628898666769,9,True
111,K0,8,448.85780031536643,4,True
112,K0,7,134.23230521096693,2,True
113,K0,13,1417.0955227276702,9,True
114,K0,9,673.8597785654612,5,True
115,K0,10,937.6858880793932,6,True
116,K0,6,-1.5768100850354239,1,True
117,K0,13,1249.2756517038456,9,True
118,K0,7,135.91837679431913,2,True
119,K0,7,71.43091571365369,2,True
120,K0,12,1749.1016048201782,8,True
